,datetime,lat,lon,incident,region
153,2024-04-16T23:00:00.000Z,51.05801,-117.19487,0,Purcells
154,2024-04-16T22:00:00.000Z,49.41033476746867,-123.19730156018556,0,Southwest Coast
155,2024-04-16T20:00:00.181Z,49.79010731125794,-125.53862934859852,0,Vancouver Island
156,2024-04-16T20:00:00.000Z,59.56726,-136.34802,0,Yukon
157,2024-04-16T19:00:00.000Z,50.07382,-115.03948,0,South Rockies
158,2024-04-16T07:00:00.000Z,59.706980009130945,-135.1223356419295,0,Yukon
159,2024-04-16T04:00:00.000Z,59.64841,-135.30076,0,Yukon
160,2024-04-15T18:00:00.000Z,59.75054,-136.67967,0,Yukon
161,2024-04-15T15:00:00.000Z,51.41038,-116.37417,0,Central Rockies
162,2024-04-15T07:00:00.000Z,49.63549318586948,-123.09069744628201,0,Southwest Coast
163,2024-04-14T23:00:00.000Z,50.36929,-122.28575,0,Southwest Coast
164,2024-04-14T19:00:00.000Z,59.70284,-136.64085,0,Yukon
165,2024-04-14T18:00:00.000Z,51.40871,-116.28835,0,Central Rockies
166,2024-04-14T17:00:00.000Z,49.38662,-122.94085,0,Southwest Coast
167,2024-04-14T17:00:00.000Z,59.7224147435991,-135.1007735196938,0,Yukon
168,2024-04-14T16:14:31.000Z,51.46289008349402,-116.4114862634751,0,Central Rockies
169,2024-04-14T16:00:00.000Z,51.3933248436399,-116.27226899204149,0,Central Rockies
170,2024-04-14T15:00:00.000Z,51.54292,-116.56894,0,Central Rockies
171,2024-04-14T14:00:00.000Z,50.73009909497006,-115.26425910044007,0,Central Rockies
172,2024-04-14T07:00:00.000Z,59.70600221790963,-135.1246329842669,0,Yukon
173,2024-04-14T06:00:00.000Z,52.17109524131021,-117.27528350635855,0,Central Rockies
174,2024-04-14T02:00:00.000Z,51.63207,-116.49723,0,Central Rockies
175,2024-04-13T20:45:00.000Z,51.35227,-116.20499,0,Central Rockies
176,2024-04-13T20:00:00.000Z,49.63520768088111,-123.09204130747176,0,Southwest Coast
177,2024-04-13T19:00:00.000Z,59.74201,-134.98929,0,Yukon
178,2024-04-13T18:00:00.000Z,49.74555259722416,-114.61650640448812,0,South Rockies
179,2024-04-13T17:30:00.000Z,49.16338,-121.21647,0,Southwest Coast
180,2024-04-13T17:00:00.000Z,50.360278186123395,-122.4464480820011,0,Southwest Coast
181,2024-04-13T17:00:00.000Z,50.72486,-115.31048,0,Central Rockies
182,2024-04-13T16:00:00.000Z,50.14662290806663,-123.06726101692288,0,Southwest Coast
183,2024-04-13T16:00:00.000Z,59.61700118941627,-135.23305009361042,0,Yukon
184,2024-04-13T16:00:00.000Z,51.1183,-115.82499,0,Central Rockies
185,2024-04-13T15:00:00.000Z,49.93346,-123.01849,0,Southwest Coast
186,2024-04-13T15:00:00.000Z,52.11676734022515,-117.13919491064192,0,Central Rockies
187,2024-04-13T14:00:00.000Z,50.95752,-115.31628,0,Central Rockies
188,2024-04-13T09:00:00.000Z,51.59369090367008,-116.06507697819849,0,Central Rockies
189,2024-04-13T03:00:00.000Z,59.71407,-135.12022,0,Yukon
190,2024-04-12T22:00:00.000Z,52.71623788496714,-119.2086446929923,0,Monashees
191,2024-04-12T21:00:00.000Z,49.38511345207368,-122.93781980496506,0,Southwest Coast
192,2024-04-12T19:00:00.000Z,54.78676,-127.30681,0,Northwest Coast
193,2024-04-12T18:00:00.000Z,51.22471,-117.4924,0,Selkirks
